Variable,Category,Type,Description,Units,Expected Effect,Source
ai_adoption_rate,Infrastructure Demand Variables,Independent,Growth in AI deployment across industries,Percent,Positive,IEA
inference_growth_rate,Infrastructure Demand Variables,Independent,Growth in inference workloads,Percent,Positive,IEA; NVIDIA
training_growth_rate,Infrastructure Demand Variables,Independent,Growth in model training workloads,Percent,Positive,NVIDIA
gpu_growth_rate,Infrastructure Demand Variables,Independent,Annual AI accelerator deployment growth,Percent,Positive,NVIDIA
installed_gpu_capacity,Infrastructure Demand Variables,Independent,Total deployed AI accelerator capacity,GPUs,Positive,Derived
compute_demand,Infrastructure Demand Variables,Intermediate,Total AI compute demand generated by training and inference,Compute Units,Positive,Model

power_draw_per_gpu,Compute Efficiency Variables,Independent,Average power consumed per accelerator,kW,Positive,NVIDIA
gpu_utilization,Compute Efficiency Variables,Independent,Average accelerator utilization rate,Percent,Positive,Industry Estimates
pue,Compute Efficiency Variables,Independent,Power Usage Effectiveness,Ratio,Positive,Uptime Institute
efficiency_improvement,Compute Efficiency Variables,Independent,Annual performance-per-watt improvement,Percent,Negative,NVIDIA
training_efficiency,Compute Efficiency Variables,Independent,Efficiency gain in training workloads,Percent,Negative,Literature
inference_efficiency,Compute Efficiency Variables,Independent,Efficiency gain in inference workloads,Percent,Negative,Literature
operating_hours,Compute Efficiency Variables,Independent,Annual operating hours,Hours,Positive,Assumption

electricity_price,Electricity Market Variables,Independent,Commercial or industrial electricity price,Cents per kWh,Negative,EIA
installed_generation_capacity,Electricity Market Variables,Independent,Installed electric generation capacity,MW,Positive,EIA
renewable_share,Electricity Market Variables,Independent,Share of generation from renewable resources,Percent,Positive,EIA
natural_gas_share,Electricity Market Variables,Independent,Share of generation from natural gas,Percent,Positive,EIA
carbon_intensity,Electricity Market Variables,Independent,CO2 emissions per unit of electricity,kg CO2 per kWh,Negative,EIA

data_center_count,Infrastructure Variables,Independent,Number of existing data centers in a state,Count,Positive,Data Center Map
ecosystem_score,Infrastructure Variables,Derived,Normalized score based on existing data center count,Index,Positive,Derived

solar_resource,Behind-the-Meter Variables,Independent,Solar generation potential,Index,Positive,NREL
geothermal_potential,Behind-the-Meter Variables,Independent,Regional geothermal potential,Index,Positive,DOE
nuclear_capacity,Behind-the-Meter Variables,Independent,Installed nuclear generation capacity,MW,Positive,EIA
btm_power_cost,Behind-the-Meter Variables,Independent,Cost of behind-the-meter generation,Dollars per MWh,Negative,Industry Reports
btm_score,Behind-the-Meter Variables,Derived,Proxy score for behind-the-meter potential based on natural gas generation share,Index,Positive,Derived
industrial_electricity_price_cents_per_kwh,Behind-the-Meter Variables,Independent,Average retail electricity price used as the grid power cost baseline.,Cents per kWh,Negative,EIA
natural_gas_price_usd_per_mcf,Behind-the-Meter Variables,Independent,Natural gas price used for behind-the-meter gas generation fuel cost. Units are dollars per thousand cubic feet; treated as approximately comparable to dollars per MMBtu for simplified first-pass modeling.,Dollars per Mcf,Negative,EIA
solar_capacity_factor,Behind-the-Meter Variables,Independent,Estimated utility-scale solar capacity factor (%). Derived from NREL PVWatts annual AC generation estimates.,Percent,Positive,NREL PVWatts

infrastructure_cost,Intermediate Variables,Intermediate,Projected infrastructure operating cost,Dollars,Negative,Model
infrastructure_risk_score,Intermediate Variables,Intermediate,Risk from power and infrastructure constraints,Score,Negative,Model

electricity_demand_twh,Outcome Variables,Dependent,Annual AI electricity demand,TWh,Output,Model
electricity_share_us,Outcome Variables,Dependent,Share of total U.S. electricity consumption,Percent,Output,Model
regional_competitiveness_score,Outcome Variables,Dependent,Overall attractiveness for AI infrastructure deployment,Score,Output,Model
projected_ai_investment_share,Outcome Variables,Dependent,Expected share of future AI infrastructure investment,Percent,Output,Model
projected_capacity_growth,Outcome Variables,Dependent,Expected AI infrastructure growth by region,MW,Output,Model
top_regions_rank,Outcome Variables,Dependent,Ranking of states for AI infrastructure deployment,Rank,Output,Model
Interconnection_Region,Regional Competitiveness Variables,Independent,Regional transmission/interconnection market assignment used for the interconnection friction proxy.,Region,Context,Author-constructed
Interconnection_Friction_Score,Regional Competitiveness Variables,Independent,Author-constructed 0-1 index where higher values indicate lower relative interconnection friction.,Index,Positive,Author-constructed
